node_name,event_type
Node5515,Speciation
Node5522,Speciation
Node5523,Speciation
Node5524,Speciation
Node5525,Speciation
Node5516,Speciation
Node5517,Speciation
Node5518,Speciation
Node5519,Speciation
Node5520,Speciation
Node5521,Speciation
Node5534,Speciation
Node5535,Speciation
Node5536,Speciation
Node5537,Speciation
Node5489,Speciation
Node5493,Speciation
Node5494,Speciation
Node5495,Speciation
Node5496,Speciation
Node5497,Speciation
Node5498,Speciation
Node5499,Speciation
Node5500,Speciation
Node5501,Speciation
Node5502,Speciation
Node5503,Speciation
Node5504,Speciation
Node5508,Speciation
Node5505,Speciation
Node5506,Speciation
Node5507,Speciation
Node5509,Speciation
Node5510,Speciation
Node5511,Speciation
Node5490,Speciation
Node5491,Speciation
Node5492,Speciation
Node5355,Speciation
Node5356,Duplication
Node5357,Speciation
Node5358,Speciation
Node5359,Speciation
Node5362,Speciation
Node5360,Speciation
Node5361,Speciation
Node5363,Speciation
Node5364,Speciation
Node5365,Speciation
Node5436,Speciation
Node5443,Speciation
Node5437,Speciation
Node5438,Speciation
Node5439,Speciation
Node5440,Speciation
Node5441,Speciation
Node5442,Speciation
Node5366,Speciation
Node5426,Speciation
Node5427,Speciation
Node5434,Speciation
Node5435,Speciation
Node5428,Speciation
Node5429,Speciation
Node5430,Speciation
Node5431,Speciation
Node5432,Speciation
Node5433,Speciation
Node5367,Speciation
Node5396,Speciation
Node5425,Speciation
Node5397,Speciation
Node5398,Speciation
Node5420,Speciation
Node5421,Speciation
Node5399,Speciation
Node5405,Speciation
Node5406,Speciation
Node5412,Speciation
Node5419,Speciation
Node5413,Speciation
Node5415,Speciation
Node5418,Speciation
Node5416,Speciation
Node5417,Speciation
Node5414,Speciation
Node5407,Speciation
Node5411,Speciation
Node5408,Speciation
Node5409,Speciation
Node5410,Speciation
Node5400,Speciation
Node5401,Speciation
Node5402,Speciation
Node5403,Speciation
Node5404,Speciation
Node5422,Speciation
Node5424,Speciation
Node5423,Speciation
Node5368,Speciation
Node5369,Speciation
Node5370,Speciation
Node5371,Speciation
Node5372,Speciation
Node5373,Speciation
